link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,1200,47,91.8,34.14942619251884,-3.530937482099963,0.0,1021.0,43.57680718857304,-0.3234893622015724,0.0011311515231817333,1113.6,2.0660010101552624
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,1500,47,361.0,20.794531716249857,-3.45745666584556,0.8185971775769201,1016.4,24.951133362235595,-0.16601313264139966,7.091065784385992,1374.8,25.113595241091165
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,1800,47,509.4,15.253339142570535,-0.9294725725835266,44.70744333879611,923.2,11.948649879305709,0.43646148286813957,99.33227107224016,1434.0,179.17709811629655
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,2,2000,47,528.6,14.512462535482891,-1.041821703990587,53.863590074012656,895.6,11.734155583727851,0.45797259118043937,116.31733267732497,1425.4,200.81282186297022
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,600,47,12.4,37.27403891893202,-1.7111009511641775,0.0,542.2,48.76084077301179,-0.13085409592965172,0.0,555.0,0.5341596049638427
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,800,47,24.0,37.35811001927939,-0.8884533482206509,0.0,708.8,47.99531647347642,-0.05882460703688105,0.0,733.2,0.694544086370392
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,1000,47,41.2,36.551767690668555,-2.3126929232774858,0.0,877.0,46.66605725596002,-0.12776614697516725,0.0,918.6,1.0525408261632727
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,1200,47,79.6,33.28296185514752,-3.884065850778819,0.0,1033.0,42.50739918496031,-0.1573953230773239,0.003693771057043675,1113.8,2.5315937416986354
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,1500,47,349.8,21.874388444257654,-3.6525465452486245,0.3990740270999686,1030.8,25.18951188131003,-0.014754456028630647,5.740804533462075,1379.2,23.304296524221485
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,1800,47,429.6,17.36260397212756,-1.4811365915351336,38.52194112302425,1018.4,14.585062916305905,0.6308050513724113,83.27560707792611,1448.2,168.3069055154982
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,3,2000,47,456.8,16.297153767668398,-1.3618001748600324,46.572373695443375,978.4,13.659530732896428,0.6086378913938041,103.07512200124987,1436.0,189.58277826041763
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,600,47,12.0,37.30138631818487,-1.5724084819399278,0.0,542.6,48.772382585914045,-0.11631468964233974,0.0,555.0,0.5288862390105346
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,800,47,24.2,36.6423143478246,-1.6869596466566505,0.0,708.6,47.829599884225864,-0.08912433143493459,0.0,733.2,0.7620991676595332
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,1000,47,40.0,36.01563692450512,-2.0836652846029127,0.0,878.2,46.361476723581966,-0.06799246382719298,0.00044843049327354266,918.6,1.1662586564653346
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,1200,47,76.0,33.61982991771627,-4.175551689578574,0.0,1036.6,42.851304029691654,-0.11582098641613774,0.0016038448012030706,1113.8,2.3282043457479515
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,1500,47,330.2,21.451061105899083,-3.4766539354391783,1.0857374686240218,1048.2,25.639771918510036,0.1544967411206922,6.294689156907644,1376.4,25.722793037209307
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,1800,47,417.0,17.777596092086675,-1.5789823625525505,33.97572321624325,1035.4,15.04540933871157,0.6776274645840732,78.83766896022249,1453.8,163.0254347613282
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,4,2000,47,421.6,17.692768726725333,-1.6303256071745977,45.09657113654775,1027.0,14.948100778395789,0.6819203040822704,93.12638079988626,1450.4,182.26681392516477
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,5,600,47,7.8,36.926805060371905,-1.4837108134923689,0.0,546.8,48.41870851490589,0.22637367531777638,0.0,555.2,0.5402588330775344
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,5,800,47,14.4,37.45353594474127,-0.48127291186889193,0.0,718.4,47.50733456383601,0.27787377754690007,0.0,733.2,0.8229980499985464
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,5,1000,47,23.8,35.487405197855026,-2.0443596362799576,0.0,894.4,46.1178320615806,0.3138811550951578,0.0,918.6,1.3847529032732657
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,5,1200,47,47.4,34.193831120433686,-2.89952184601499,0.0,1065.4,43.10742278057599,0.48791907144319957,0.0,1113.6,2.5791229090286807
11 : AV-WZ-0.6SRF-0.75RF,0,0.01,0.98,0.02,5,1500,47,236.8,23.01097371915682,-3.4115866598306726,0.18224134110329784,1143.2,29.77959794350291,0.5569404959140114,3.447985370844518,1376.4,17.760078136962054
