link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,MPR,truck,Distr.,Volume,TTCs,,,
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,1800,47,259.6,21.37018551,-2.43843523,33.11904858,1200.6,20.04743232,1.333318862,67.6335858,1461.8,153.4954073,,,0,0.02,4,1800,699.6,,0,440
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,2000,47,231,22.14410379,-2.394000902,45.70788565,1229.4,21.20541142,1.552286991,76.58639477,1462.2,169.3634217,,,0,0.02,4,2000,787.4,,0,556.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,600,47,5.6,36.47468149,-1.075132205,0,549,48.3175114,0.287210988,0,555.2,0.564533062,,,0,0.02,5,600,0,,0,-5.6
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,800,47,9,36.33092944,0.26616736,0,723.8,47.41351421,0.402355981,0,733.4,0.867542842,,,0,0.02,5,800,0.2,,0,-8.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,1000,47,14.6,35.3380672,-0.493279849,0,903.6,45.92125583,0.536199735,0.00079096,918.6,1.470944803,,,0,0.02,5,1000,0.2,,0,-14.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,1200,47,30.4,34.30885485,-2.386260164,0,1082.4,43.1069496,0.774324745,0.001216151,1113.6,2.765190688,,,0,0.02,5,1200,1,,0,-29.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,1500,47,151.6,25.66043894,-3.441292615,0.014550075,1229.6,32.42736814,1.117369151,3.233267557,1380,17.5695295,,,0,0.02,5,1500,32.8,,0,-118.8
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,1800,47,132.2,25.71083331,-2.571835309,15.85820615,1330.6,29.1147803,2.149978762,56.19869256,1464.2,139.3703808,,,0,0.02,5,1800,656.4,,0,524.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,5,2000,47,121.4,28.08786905,-2.601114184,22.4993287,1357.6,29.96044488,2.12868055,59.94571965,1479,148.333536,,,0,0.02,5,2000,671.8,,0,550.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,600,47,6.2,36.86064393,1.070415504,0,548.4,48.65820394,0.323571644,0,555.2,0.651738946,,,0,0.02,6,600,0,,0,-6.2
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,800,47,8.4,36.57987176,0.430227824,0,724.4,47.80457202,0.472363739,0,733.4,0.996213144,,,0,0.02,6,800,0,,0,-8.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,1000,47,13.6,36.0025109,-0.667409861,0,904.6,46.21596759,0.693805532,0,918.6,1.742010736,,,0,0.02,6,1000,0,,0,-13.6
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,1200,47,21.6,33.88753635,-2.024055148,0,1091.6,43.9551156,0.927297838,0,1113.6,3.228868853,,,0,0.02,6,1200,0.2,,0,-21.4
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,6,1500,47,91.8,28.50051722,-3.285373608,0.022154762,1290,34.71966945,1.553969801,2.192828456,1381.6,19.03744881,,,0,0.02,6,1500,23.8,,0,-68
