Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_013.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_015.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_016.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_017.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_018.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_021.trj,16,0,0,16,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_022.trj,30,0,0,27,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_023.trj,113,0,0,104,9
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_024.trj,42,0,1,36,5
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_025.trj,151,0,1,127,23
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_026.trj,885,0,0,827,58
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_027.trj,849,0,0,777,72
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_028.trj,957,0,0,879,78
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_029.trj,1029,0,0,947,82
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_030.trj,943,0,0,872,71
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_031.trj,1063,0,0,975,88
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_032.trj,1048,0,0,949,99
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_033.trj,1185,0,0,1092,93
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_034.trj,1054,0,0,976,78
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_035.trj,1073,0,0,977,96
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_049.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_050.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_052.trj,3,0,0,3,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_054.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_056.trj,14,0,0,14,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_057.trj,70,0,0,65,5
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_058.trj,118,0,0,101,17
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_059.trj,17,0,0,15,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_060.trj,72,0,0,66,6
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_061.trj,768,0,0,697,71
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_062.trj,862,0,0,762,100
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_063.trj,827,0,1,743,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_064.trj,905,0,1,821,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_065.trj,821,0,0,735,86
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_066.trj,895,0,0,801,94
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_067.trj,922,0,0,840,82
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_068.trj,961,0,0,870,91
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_069.trj,968,0,0,878,90
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_070.trj,970,0,0,851,119
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_088.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_089.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_091.trj,5,0,0,5,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_092.trj,30,0,0,28,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_093.trj,93,0,0,77,16
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_094.trj,35,0,0,33,2
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_095.trj,127,0,0,113,14
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_096.trj,739,0,0,639,100
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_097.trj,726,0,0,654,72
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_098.trj,640,0,0,572,68
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_099.trj,768,0,0,685,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_100.trj,800,0,0,717,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_101.trj,910,0,0,819,91
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_102.trj,828,0,1,747,80
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_103.trj,786,0,0,716,70
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_104.trj,817,0,0,734,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_105.trj,833,0,0,736,97
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_118.trj,1,0,0,0,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_123.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_124.trj,2,0,0,2,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_126.trj,4,0,0,4,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_127.trj,60,0,0,51,9
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_128.trj,54,0,0,48,6
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_129.trj,19,0,0,18,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_130.trj,58,0,0,55,3
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_131.trj,711,0,0,627,84
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_132.trj,674,0,0,600,74
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_133.trj,587,0,0,535,52
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_134.trj,745,0,0,656,89
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_135.trj,781,0,0,706,75
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_136.trj,703,0,0,627,76
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_137.trj,783,0,0,725,58
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_138.trj,830,0,0,741,89
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_139.trj,832,0,1,756,75
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_140.trj,789,0,0,721,68
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_147.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.4\AV_Lane_Change_Compliance_Ablation_155.trj,1,0,0,0,1
