link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,1200,47,48.8,33.84866694417317,-3.5948410313171464,0.0,1064.4,42.91864294078293,0.5448008178537895,0.00256538889183036,1113.6,3.1678187052625324
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,1500,47,173.6,27.310732842295543,-3.288451842949578,0.0,1208.8,32.41250424725094,0.8858499516142532,1.09372052622632,1380.8,13.893465849604246
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,1800,47,331.4,21.66644548013719,-2.4653948622365154,11.400787822462373,1163.2,20.618452417341125,1.0910028513441614,45.77194188764296,1496.4,125.32412613475412
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,6,2000,47,321.2,21.810029209977937,-2.4877809226987924,15.92479316762533,1168.8,20.565985398502892,1.0643680989096245,57.37652315052136,1491.8,142.56027626329606
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,600,47,9.6,35.24730903933215,-1.815416941353622,0.0,545.0,48.650910047957304,0.23195680289357976,0.0,555.2,0.6295719007925348
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,800,47,16.4,37.01242399256691,-1.5409588249298838,0.0,716.2,47.71147704816228,0.23896713573055495,0.0,732.8,0.9270538152704646
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,1000,47,33.4,34.98828189832382,-3.7653424993877485,0.0,884.8,45.768386902154255,0.22767684425871218,0.0,918.6,1.6318230987809108
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,1200,47,57.4,34.11226389421337,-3.7547773880034363,0.0,1055.6,42.561546807203655,0.42307966851423656,0.0018592057761732867,1113.6,3.1356103390237915
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,1500,47,201.6,26.74616348981045,-3.713590443703557,0.0013502109704641352,1182.4,31.162561531378213,0.637826963776922,1.836467861067406,1383.4,16.577283834059315
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,1800,47,359.8,20.56514242470043,-2.3850491670031273,14.752043672615926,1116.0,18.865906260862026,0.9001486631766745,54.6421953693892,1477.6,132.5956645292462
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,7,2000,47,359.8,20.82912527689431,-2.312194225511628,18.357441900110985,1131.4,19.22791266557939,0.9788370336868182,62.21268330211514,1490.8,147.24932619756402
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,600,47,9.4,36.58242761883334,-0.05894602508523117,0.0,545.4,48.89059620767203,0.18689816280383745,0.0,555.0,0.6944425843903324
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,800,47,14.0,37.36658251593253,-1.5774549036736576,0.0,718.6,48.2733120551828,0.2473558710359542,0.0,732.8,0.9689592306182494
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,1000,47,24.6,36.18548062912606,-2.535482905228735,0.0,893.4,46.77348471821669,0.37507680003901533,0.0,918.6,1.6484148196533301
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,1200,47,42.2,34.23399050706767,-3.1332382287386977,0.0,1071.0,43.67996191044777,0.627494406791375,0.0,1113.6,3.2526472309224195
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,1500,47,123.2,30.30594124726307,-2.8443482694485245,0.0,1261.4,35.484321165279404,1.204808125203413,0.4455388905704044,1385.0,14.605096571146309
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,1800,47,258.0,25.131671046653505,-2.5889542918345763,4.006378772032839,1251.0,25.076011510299168,1.3807265734351475,31.01159455411073,1509.0,102.69883528314313
8 : AV-WZ-0.75SRF,0,0.01,0.98,0.02,8,2000,47,251.8,24.867718079957072,-2.83147454461288,5.137552981299292,1248.0,24.49857754292271,1.3063233787761892,36.03864870867339,1498.8,115.24392409891212
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,600,47,22.6,35.30663808455363,-3.9066894386306403,0.0,532.0,49.500590055934836,-0.9945584526171082,0.0,555.0,0.7874590847994888
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,800,47,49.8,35.602395210859775,-3.659512927031547,0.0,683.0,48.05243765630008,-0.8663994025905973,0.0,732.6,1.0967774689172127
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,1000,47,87.6,33.377118108062554,-4.311427347022471,0.0,830.6,44.94015462191203,-0.8534370491457752,0.009053014120769884,918.4,2.0599052066055257
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,1200,47,199.0,28.58192437842174,-5.386853333887453,0.04125461254612539,913.8,37.60434242717318,-1.053321947214469,0.0852004066009501,1113.8,5.1990317202980965
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,1500,47,616.2,10.228543002856673,-0.5631289879372943,18.908670990042516,691.6,8.4691078103331,0.062166227764579404,65.195956554672,1306.2,111.63251327893803
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,1800,47,627.0,9.289240619322378,-0.3672971174039707,72.94319724123959,672.8,7.641746854437256,0.05151771494404742,155.24847544714476,1300.6,228.15476246223002
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,1,2000,47,613.2,9.988175861701249,-0.4843147311764854,80.71777462960817,691.8,8.07213034404156,0.14443637426988457,161.4390486299422,1304.6,236.65158671195513
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,600,47,16.6,36.20329048114369,-2.592856412772534,0.0,538.0,48.54663254502402,-0.19718996184744028,0.0,555.0,0.5786124660567986
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,800,47,37.2,35.96604181614007,-3.127142008261233,0.0,695.6,47.24729732196925,-0.20561265420911545,0.0,733.2,0.944282792067367
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,1000,47,66.0,34.07570825800563,-4.03013803808277,0.0,852.2,44.79632446126816,-0.2583682469235084,9.58083832335329e-05,918.2,1.7419305240880363
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,1200,47,149.2,29.533844335698717,-4.758593181355602,0.01402777777777777,963.0,38.95963791064238,-0.5254598754040488,0.08339377531924894,1112.4,4.515358457096211
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,1500,47,567.6,12.208724478431865,-0.913539746315869,12.411603728300515,748.0,10.256167004529098,0.032619839189447976,52.54599728034141,1312.6,99.30561584212307
8 : AV-WZ-0.75SRF,0,0.01,0.9,0.1,2,1800,47,583.6,11.75627406820373,-0.5978603526741701,51.4906454655155,742.4,9.12602415856021,0.17631883166502535,127.59509734640028,1326.2,205.14937571447368
