link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1500,47,507.4,13.07455674,-0.800484144,26.64344555,751.2,10.59845429,0.271065226,85.82141302,1258.2,154.2239874,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,1800,47,517.8,13.04073529,-0.688678472,45.42217449,747.8,9.970319034,0.200921989,118.6429879,1266.8,201.5825905,,,
7 : AV-WZ,0,0.01,0.8,0.2,2,2000,47,513.2,12.84428599,-0.680682614,51.27570636,742,10.24567751,0.298488138,131.1718249,1255.8,215.12929,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,600,47,17,35.85184899,-2.347266353,0,537.6,48.08748079,-0.117809495,0,555,0.725707224,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,800,47,28.6,35.88650545,-3.041604372,0,704.2,46.96248884,-0.041715758,0,733.4,0.989517739,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1000,47,53,34.55345833,-3.809768685,0,865.2,44.52461237,-0.069206057,0.001512738,918.6,1.813679837,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1200,47,124.2,30.40187327,-4.900341554,0,987.6,38.18395887,-0.146429495,0.08702952,1111.8,4.810605097,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1500,47,473.8,14.89334466,-1.225183281,19.07032609,800.4,11.86340185,0.268880509,66.61720976,1273.8,131.4233496,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,1800,47,454,15.01047416,-1.036478262,39.94770845,823.8,12.13228638,0.407676861,105.1926746,1278.8,191.5271042,,,
7 : AV-WZ,0,0.01,0.8,0.2,3,2000,47,442.2,15.68033681,-1.114366908,39.30438119,845.2,12.1801702,0.407314883,100.8478068,1288,192.1562682,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,600,47,16.4,36.01314953,-2.366899141,0,538.2,48.10322581,-0.110297885,0,555,0.717378787,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,800,47,27.2,35.72076693,-2.946604792,0,705.6,46.86790918,-0.022429679,0.000733427,733.4,1.048580712,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1000,47,48.6,34.23107322,-3.843940196,0,869.6,44.43174257,0.009931009,0.000368239,918.6,1.781049887,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1200,47,127.6,29.37882542,-4.700995722,0.005759162,982,38.02456446,-0.050580639,0.257627223,1109.6,5.400720567,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1500,47,455.8,14.78845603,-1.091633874,21.03455788,818.8,12.49071092,0.448634158,76.06748875,1274.2,148.5438549,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,1800,47,426,15.87204787,-1.215262292,38.68141016,856.2,13.00495851,0.517746186,97.8015464,1282.8,186.484605,,,
7 : AV-WZ,0,0.01,0.8,0.2,4,2000,47,454.8,15.14112487,-1.064538629,40.77359877,827.6,12.30309019,0.382381111,104.1301012,1282.4,195.0668302,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,600,47,10.4,36.14779818,-1.730037188,0,544.2,47.836404,0.254644737,0,555.2,0.714640533,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,800,47,18,36.49241286,-1.411494838,0,714.8,46.79119687,0.292267161,0.000583333,733.4,1.054626799,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,1000,47,31.4,34.30925969,-2.528477914,0,886.8,44.58887874,0.386804817,0.000400891,918.6,1.915401513,,,
7 : AV-WZ,0,0.01,0.8,0.2,5,1200,47,78.6,30.24532901,-3.712201321,0,1033.8,38.6698022,0.658201675,0.075312705,1112.6,5.421296266,,,
