Summary Group , Total, unclassified,crossing,rear end,lane change
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_085.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_089.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_090.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_091.trj,14,0,0,14,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_092.trj,108,0,0,91,17
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_093.trj,108,0,0,100,8
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_094.trj,13,0,0,12,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_095.trj,58,0,0,53,5
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_096.trj,677,0,0,619,58
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_097.trj,724,0,0,644,80
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_098.trj,673,0,0,597,76
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_099.trj,735,0,0,651,84
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_100.trj,675,0,0,596,79
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_101.trj,763,0,0,680,83
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_104.trj,875,0,0,774,101
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_105.trj,933,0,0,830,103
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_117.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_118.trj,1,0,0,0,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_119.trj,1,0,0,0,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_125.trj,1,0,0,1,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_126.trj,6,0,0,6,0
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_127.trj,142,0,0,128,14
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_128.trj,42,0,0,36,6
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_129.trj,33,0,0,32,1
Unfiltered-E:\E_Derive_COM Basic Commands\AV_sample_data_SRF_0.6\AV_Lane_Change_Compliance_Ablation_130.trj,95,0,0,85,10
