link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,800,47,17.6,37.502656599491196,-0.010201380272366407,0.0,715.2,48.09861075662042,-0.050914785080181366,0.0,733.4,0.6471063643230993
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,1000,47,30.4,36.14639377771344,-1.8270253539943266,0.0,887.8,46.62301271939541,-0.021620926278695697,0.0007603686635944703,918.6,1.0274881230873716
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,1200,47,56.4,34.1806734541252,-3.8367970195716383,0.0,1056.2,43.43496046378614,-0.007011898517903127,0.0005390334572490706,1113.8,2.1119506182821293
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,1500,47,229.2,24.15550231923137,-3.9507007814408235,0.6925599580092406,1146.8,29.007289833519614,0.33544703744932025,5.673026727352,1374.0,22.75714593147122
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,1800,47,255.6,21.467515091459234,-2.350121169443766,36.131869745744055,1205.2,19.918707413721307,1.3565009281078944,69.95702642768637,1462.8,155.20364681779674
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,3,2000,47,276.6,20.904439916970638,-2.221040980282005,45.10294273764984,1185.8,19.18199040914299,1.2552636403546409,80.13068901157857,1465.0,172.55850491742203
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,600,47,8.4,36.43575926994974,-1.9083761696691632,0.0,546.2,48.806411173385506,-0.08979716472256244,0.0,555.0,0.5132265115093013
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,800,47,18.4,37.19097357373259,-0.4382240243788321,0.0,714.4,48.076892902129906,-0.03953530879371977,0.0,733.4,0.6818377982646651
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,1000,47,28.4,35.674897658524934,-2.32622236625783,0.0,889.8,46.6469094168193,0.05585326938568811,0.0,918.6,1.0599109112254996
8 : AV-WZ-0.4SRF,0,0.01,0.98,0.02,4,1200,47,52.8,34.66698251065084,-3.2348343316185746,0.0,1059.8,43.88435245840644,0.05253722096868742,0.0004055299539170509,1113.8,1.9556572649347381
