link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,4,600,43,6.0,38.15050272144658,-1.9041377689870527,0.0,545.0,48.751379222279574,-0.10197047848304229,0.0,551.0,0.4936105731649621
7 : AV-WZ,0,0.01,0.98,0.02,4,800,43,24.0,38.79734980864592,0.4696153684476549,0.0,706.0,48.36765132373011,-0.08436277371041521,0.0,730.0,0.6070560783603471
7 : AV-WZ,0,0.01,0.98,0.02,4,1000,43,33.0,37.66491182529095,-0.15665600239454688,0.0,866.0,46.78295222575392,0.04986014060059485,0.0,900.0,0.9529883211568051
7 : AV-WZ,0,0.01,0.98,0.02,4,1200,43,57.0,35.92992214857961,-3.246952288914205,0.0,1012.0,44.34096253057848,-0.19991146076095592,0.0,1072.0,1.6024311877002466
7 : AV-WZ,0,0.01,0.98,0.02,4,1500,43,226.0,26.23056232573643,-5.236164823761004,0.0,1116.0,32.71361578244082,-0.029513661987777624,0.5227598566308245,1343.0,8.885933159698487
7 : AV-WZ,0,0.01,0.98,0.02,4,1800,43,391.0,18.550203280857364,-2.1202915490816294,32.70792838874664,1078.0,16.67094165231723,0.8384612998832923,66.9423005565854,1473.0,155.44131321492804
7 : AV-WZ,0,0.01,0.98,0.02,4,2000,43,455.0,16.255252523680298,-1.3062596638512156,46.39714285714254,967.0,14.368146306609335,0.6054489487370537,99.26680455015277,1426.0,186.66617453682557
7 : AV-WZ,0,0.01,0.98,0.02,5,600,43,3.0,37.85718221096598,-1.936277929273109,0.0,548.0,48.36721664115924,0.23756273370546543,0.0,552.0,0.5136505882951788
7 : AV-WZ,0,0.01,0.98,0.02,5,800,43,9.0,38.06135757104842,-1.133478849859165,0.0,721.0,47.942165973959774,0.30303711595618976,0.0,730.0,0.6729800882897758
7 : AV-WZ,0,0.01,0.98,0.02,5,1000,43,14.0,35.91055911416653,-2.0045564224867447,0.0,885.0,46.478179911389056,0.4137485459299949,0.0,900.0,1.3029739304487078
7 : AV-WZ,0,0.01,0.98,0.02,5,1200,43,41.0,36.12986319510077,-2.6177856339576873,0.0,1028.0,44.350769787365905,0.4717431053104793,0.0,1072.0,2.001802458092376
7 : AV-WZ,0,0.01,0.98,0.02,5,1500,43,123.0,28.76877384014519,-4.088057448186503,0.0,1220.0,35.33051517171697,0.48758849445553193,0.004344262295081964,1343.0,7.009758705381729
7 : AV-WZ,0,0.01,0.98,0.02,5,1800,43,280.0,20.951043514002798,-2.5271156271051622,15.939642857142891,1193.0,21.947977305966912,1.4002928251486257,60.60184409052723,1475.0,139.85038691625374
7 : AV-WZ,0,0.01,0.98,0.02,5,2000,43,328.0,19.156149015023736,-1.8500469836603182,25.866463414634115,1126.0,20.331925264555238,1.01177076205636,81.66616341030041,1458.0,166.86002868559166
7 : AV-WZ,0,0.01,0.98,0.02,6,600,43,6.0,34.73178514944056,-2.278405521989857,0.0,545.0,48.8271282213004,0.21530812981769212,0.0,552.0,0.6359143743402752
7 : AV-WZ,0,0.01,0.98,0.02,6,800,43,11.0,36.303521448723224,0.030415089977800992,0.0,719.0,48.27813909798208,0.3322881382139717,0.0,730.0,0.8121101216720478
7 : AV-WZ,0,0.01,0.98,0.02,6,1000,43,18.0,36.35850382253297,-1.279447953275781,0.0,881.0,46.85149729606502,0.45737556864423873,0.0,900.0,1.2518157709749513
7 : AV-WZ,0,0.01,0.98,0.02,6,1200,43,36.0,36.50989378916663,-1.8102021639363672,0.0,1034.0,44.94015522078459,0.5089954197592552,0.0,1072.0,2.146883823016175
7 : AV-WZ,0,0.01,0.98,0.02,6,1500,43,98.0,29.947877096623895,-3.547555932076153,0.0,1248.0,36.76983973524043,1.0618530839579077,0.0032852564102564116,1347.0,7.9945650862091515
7 : AV-WZ,0,0.01,0.98,0.02,6,1800,43,234.0,24.31332359437005,-2.6929329450245625,11.415811965811965,1256.0,25.38669749289568,1.4195719513749492,42.07292993630544,1491.0,120.30150855481388
7 : AV-WZ,0,0.01,0.98,0.02,6,2000,43,217.0,24.877558592513815,-2.800857158718539,14.166359447004558,1276.0,25.947161207049746,1.5169405831199405,50.405329153604555,1493.0,134.1948603510018
7 : AV-WZ,0,0.01,0.98,0.02,7,600,43,7.0,34.63034907974842,-4.5016927358842835,0.0,544.0,48.75266921761,0.21519603029730397,0.0,552.0,0.6173571123655858
7 : AV-WZ,0,0.01,0.98,0.02,7,800,43,11.0,35.16961481400266,-2.226673329479494,0.0,719.0,48.071857042892916,0.29965061235686996,0.0,730.0,0.8318885755345425
7 : AV-WZ,0,0.01,0.98,0.02,7,1000,43,26.0,36.103001313353474,-2.099615591118889,0.0,873.0,46.537495191758445,0.33931413300466823,0.0,900.0,1.3145868911151835
7 : AV-WZ,0,0.01,0.98,0.02,7,1200,43,39.0,36.73442405580397,-1.8805708965278798,0.0,1031.0,45.267587677996126,0.40659479681398214,0.0,1072.0,1.860843437514483
7 : AV-WZ,0,0.01,0.98,0.02,7,1500,43,110.0,30.757958377742376,-3.0878303919893457,0.0,1235.0,36.774605805154216,0.8110621773867879,0.027692307692307683,1347.0,7.460514319545896
7 : AV-WZ,0,0.01,0.98,0.02,7,1800,43,250.0,23.37140010554997,-2.387707650425336,13.23799999999995,1230.0,23.208886141709023,1.4006955262255227,46.99203252032475,1479.0,122.91660500743112
