link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1)
7 : AV-WZ,0,0.01,0.98,0.02,3,800,43,4.0,36.61490071136306,-1.1335794588616543,0.0,116.0,48.47867226775298,-0.10730273795101837,0.0,118.0,0.612400211866836
7 : AV-WZ,0,0.01,0.98,0.02,3,1000,43,6.0,33.69646027737619,-5.530229671685919,0.0,149.0,47.1371515737652,0.03899186328080176,0.0,154.0,0.938458821499599
7 : AV-WZ,0,0.01,0.98,0.02,3,1200,43,5.0,33.22554017679438,-2.9744584678090282,0.0,174.0,45.72363303292086,-0.12739663016159125,0.0,179.0,1.3333921132308066
7 : AV-WZ,0,0.01,0.98,0.02,3,1500,43,30.0,30.829243476113135,-5.287611545665549,0.0,199.0,36.39080731932458,-0.5624505170933878,0.014572864321608037,227.0,5.207374469344431
7 : AV-WZ,0,0.01,0.98,0.02,3,1800,43,85.0,16.228535184625088,-2.2112583402489525,0.357647058823529,155.0,20.233617090514752,-0.29240859927418167,10.685161290322636,236.0,30.6511283426916
7 : AV-WZ,0,0.01,0.98,0.02,3,2000,43,92.0,15.938287144679897,-1.3569977657967696,0.22391304347826058,160.0,19.76664267326251,-0.03828802127741173,17.642500000000076,245.0,44.330048156306745
7 : AV-WZ,0,0.01,0.98,0.02,4,600,43,0.0,0.0,0.0,0.0,83.0,49.32798486802926,-0.15061864932801047,0.0,82.0,0.3393548984517002
7 : AV-WZ,0,0.01,0.98,0.02,4,800,43,4.0,37.726475265190494,1.3236731454050046,0.0,116.0,48.32918322103402,-0.0057931702390271195,0.0,118.0,0.655063892312693
7 : AV-WZ,0,0.01,0.98,0.02,4,1000,43,5.0,35.43030542997115,-3.489747457253974,0.0,150.0,46.86126233496992,0.08132839387638809,0.0,154.0,0.9161855522751453
7 : AV-WZ,0,0.01,0.98,0.02,4,1200,43,2.0,36.36808677049185,-2.8558749022484684,0.0,177.0,45.13005870887708,0.05722438341063045,0.0,179.0,1.438686113797616
7 : AV-WZ,0,0.01,0.98,0.02,4,1500,43,23.0,30.951696693315913,-5.849479653246914,0.0,204.0,37.698715810200916,-0.43600005855136,0.0,222.0,3.9464310179618876
7 : AV-WZ,0,0.01,0.98,0.02,4,1800,43,79.0,13.547250171721675,-2.1920725120523628,7.991139240506363,159.0,20.51795686312924,-0.06819632541026532,8.736477987421425,232.0,35.711785831177366
7 : AV-WZ,0,0.01,0.98,0.02,4,2000,43,83.0,15.057028940431277,-1.3046197415467817,4.45060240963857,164.0,21.628792409215247,-0.03702160941669133,18.760365853658563,243.0,43.88519083101474
7 : AV-WZ,0,0.01,0.98,0.02,5,600,43,0.0,0.0,0.0,0.0,83.0,49.04189264005901,0.29018833398011296,0.0,82.0,0.40104460167200734
7 : AV-WZ,0,0.01,0.98,0.02,5,800,43,1.0,34.27453755161749,0.0,0.0,119.0,47.919615262111826,0.2368979745612549,0.0,118.0,0.7029475381270789
7 : AV-WZ,0,0.01,0.98,0.02,5,1000,43,2.0,33.835369441929046,-5.1785866567607135,0.0,153.0,46.925067028961195,0.22369435938891588,0.0,154.0,1.0925928011858341
