link_behav,MPR(0),MPR(1),Car(0),Car(1),dist_distr,volume,num_seed,VehsDC(1),SpeedDC(1),AccelerationDC(1),QueueDelayDC(1),VehsDC(2),SpeedDC(2),AccelerationDC(2),QueueDelayDC(2),VehsDelay(1),VehDelayDelay(1),,MPR,truck,Distr.,Volume,TTCs,,,
7 : AV-WZ,0,0.01,0.98,0.02,5,800,47,14.6,37.54367419,-0.403781892,0,718.2,47.50797687,0.279124011,0,733.2,0.823007478,,0,0.02,5,800,0,,0,-14.6
7 : AV-WZ,0,0.01,0.98,0.02,5,1000,47,22.8,35.82232578,-1.799772162,0,895.4,46.25035943,0.33694274,0,918.6,1.342074616,,0,0.02,5,1000,0,,0,-22.8
7 : AV-WZ,0,0.01,0.98,0.02,5,1200,47,47.4,34.52172368,-2.859356269,0,1065.4,43.38622649,0.478502612,0,1113.6,2.446373323,,0,0.02,5,1200,0.2,,0,-47.2
7 : AV-WZ,0,0.01,0.98,0.02,5,1500,47,213.8,24.70458106,-3.455803302,0.068453634,1167.6,30.61939814,0.561825717,2.912368734,1379,17.49325944,,0,0.02,5,1500,24.2,,0,-189.6
7 : AV-WZ,0,0.01,0.98,0.02,5,1800,47,278.2,22.16455588,-2.61142088,17.44292586,1210,21.87418323,1.274337022,56.3989235,1490.6,138.252943,,0,0.02,5,1800,575.2,,0,297
7 : AV-WZ,0,0.01,0.98,0.02,5,2000,47,291.2,21.83488271,-2.498415797,24.52605958,1191.8,21.68741374,1.227312609,69.35854392,1484.4,157.417467,,0,0.02,5,2000,671.2,,0,380
7 : AV-WZ,0,0.01,0.98,0.02,6,600,47,8,36.07875788,-0.609977963,0,546.6,48.7280628,0.251034149,0,555.2,0.628747713,,0,0.02,6,600,0,,0,-8
7 : AV-WZ,0,0.01,0.98,0.02,6,800,47,10.8,36.54503397,-0.511563622,0,722,47.88083533,0.377653695,0,733.2,0.954081618,,0,0.02,6,800,0,,0,-10.8
7 : AV-WZ,0,0.01,0.98,0.02,6,1000,47,22.6,36.0246727,-1.389883441,0,895.6,46.43939105,0.463680816,0,918.6,1.539923878,,0,0.02,6,1000,0,,0,-22.6
7 : AV-WZ,0,0.01,0.98,0.02,6,1200,47,38.6,34.36541491,-2.98917544,0,1074.6,43.7263017,0.632336265,0,1113.6,3.011285888,,0,0.02,6,1200,0,,0,-38.6
7 : AV-WZ,0,0.01,0.98,0.02,6,1500,47,149.8,27.14055217,-3.234780775,0,1234.6,32.77592044,1.150205093,0.962585732,1383.4,15.49908164,,0,0.02,6,1500,7.4,,0,-142.4
7 : AV-WZ,0,0.01,0.98,0.02,6,1800,47,224.4,24.73499819,-2.698133839,10.31373052,1267.8,25.71655426,1.501763366,41.76530893,1493.6,119.7432412,,0,0.02,6,1800,422.2,,0,197.8
7 : AV-WZ,0,0.01,0.98,0.02,6,2000,47,209.6,25.01383114,-2.783100449,16.91672672,1280.8,26.11949334,1.540699108,48.3023753,1490.8,133.993054,,0,0.02,6,2000,499.8,,0,290.2
7 : AV-WZ,0,0.01,0.98,0.02,7,600,47,8.4,36.11662609,-1.743833883,0,546.2,48.6589369,0.235607608,0,555.2,0.608473609,,0,0.02,7,600,0,,0,-8.4
7 : AV-WZ,0,0.01,0.98,0.02,7,800,47,13,36.3568817,-0.876761002,0,719.8,47.79270794,0.353937209,0,733.2,0.929915246,,0,0.02,7,800,0,,0,-13
7 : AV-WZ,0,0.01,0.98,0.02,7,1000,47,27,35.99115893,-1.843640496,0,891.2,46.12231942,0.381423198,0,918.6,1.537045247,,0,0.02,7,1000,0.2,,0,-26.8
7 : AV-WZ,0,0.01,0.98,0.02,7,1200,47,44.4,34.69235055,-3.062604914,0,1068.6,43.6598821,0.600539504,0.000330882,1113.6,2.807599913,,0,0.02,7,1200,0,,0,-44.4
7 : AV-WZ,0,0.01,0.98,0.02,7,1500,47,149,28.76089409,-3.42346777,0.057078762,1235.8,33.67090987,0.98901021,0.778998169,1384.6,13.34233007,,0,0.02,7,1500,7,,0,-142
7 : AV-WZ,0,0.01,0.98,0.02,7,1800,47,241.2,23.70842342,-2.550749294,13.23833652,1244.4,23.88428831,1.405785243,44.312671,1486.6,124.0721628,,0,0.02,7,1800,433.8,,0,192.6
7 : AV-WZ,0,0.01,0.98,0.02,7,2000,47,228.2,24.61993128,-2.858194733,19.16272114,1263.4,24.66583602,1.440989173,52.1084808,1491.8,138.7581549,,0,0.02,7,2000,527.2,,0,299
7 : AV-WZ,0,0.01,0.98,0.02,8,600,47,8,36.63878871,-0.391193943,0,546.8,48.9200637,0.218146256,0,555,0.692624654,,0,0.02,8,600,0,,0,-8
7 : AV-WZ,0,0.01,0.98,0.02,8,800,47,12.2,37.25170213,-1.474053807,0,720.6,48.30256078,0.318420896,0,733.2,1.055988389,,0,0.02,8,800,0,,0,-12.2
7 : AV-WZ,0,0.01,0.98,0.02,8,1000,47,21,36.56926933,-1.120864472,0,897,47.05591364,0.43807105,0,918.6,1.64472519,,0,0.02,8,1000,0,,0,-21
7 : AV-WZ,0,0.01,0.98,0.02,8,1200,47,30.8,35.10588943,-2.415201822,0,1082.4,44.3732938,0.780192619,0.000215247,1113.6,3.293888445,,0,0.02,8,1200,0.2,,0,-30.6
7 : AV-WZ,0,0.01,0.98,0.02,8,1500,47,91,31.60731415,-2.422601189,0,1293.4,37.30833702,1.400449099,0.527365404,1384,15.02598584,,0,0.02,8,1500,5,,0,-86
